id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
217	1939.03.16		Párizs	Parc Des Princes	30000	Franciaország	2	2	
218	1939.03.19		Cork		12000	Írország	2	2	
219	1939.04.02		Zürich		22000	Svájc	1	3	
220	1939.05.18	17:15:00	Budapest	Hungária út	15000	Írország	2	2	
221	1939.06.08	17:00:00	Budapest	Üllői út	36000	Olaszország	1	3	
222	1939.08.27		Varsó		21000	Lengyelország	2	4	
223	1939.09.24		Budapest	Üllői út	25000	Németország	5	1	
224	1939.10.22		Bukarest		32000	Románia	1	1	
225	1939.11.12		Belgrád		20000	Jugoszlávia	2	0	
226	1940.03.31	15:30:00	Budapest	Üllői út	32000	Svájc	3	0	
227	1940.04.07		Berlin		102000	Németország	2	2	
228	1940.05.02	17:00:00	Budapest	Üllői út	15000	Horvátország	1	0	
229	1940.05.19	17:30:00	Budapest	Üllői út	20000	Románia	2	0	
230	1940.09.29	15:15:00	Budapest	Üllői út	20000	Jugoszlávia	0	0	
231	1940.10.06	15:00:00	Budapest	Üllői út	36000	Németország	2	2	
232	1940.12.01	14:00:00	Genova		35000	Olaszország	1	1	
233	1940.12.08		Zágráb		8000	Horvátország	1	1	
234	1941.03.23		Belgrád		20000	Jugoszlávia	1	1	
235	1941.04.06		Köln		65000	Németország	0	7	
236	1941.11.16		Zürich		24000	Svájc	2	1	
237	1942.05.03	17:00:00	Budapest	Üllői út	40000	Németország	3	5	
238	1942.06.14	18:00:00	Budapest	Üllői út	28000	Horvátország	1	1	
239	1942.11.01	14:30:00	Budapest	Üllői út	35000	Svájc	3	0	
240	1943.05.16		Genf		25000	Svájc	3	1	
241	1943.06.06		Szófia		15000	Bulgária	4	2	
242	1943.09.12		Stockholm		38000	Svédország	3	2	
243	1943.09.15		Helsinki		10000	Finnország	3	0	
244	1943.11.07	14:15:00	Budapest	Üllői út	39000	Svédország	2	7	
245	1945.08.19	17:00:00	Budapest	Üllői út	40000	Ausztria	2	0	
246	1945.08.20	17:00:00	Budapest	Üllői út	20000	Ausztria	5	2	
247	1945.09.30	15:30:00	Budapest	Üllői út	35000	Románia	7	2	
248	1946.04.14		Bécs		60000	Ausztria	2	3	
249	1946.10.06	15:30:00	Budapest	Üllői út	35000	Ausztria	2	0	
250	1946.10.31		Esch		10000	Luxemburg	7	2	
251	1947.05.04	17:00:00	Budapest	Üllői út	37000	Ausztria	5	2	
252	1947.05.11	16:00:00	Torino		70000	Olaszország	2	3	
253	1947.06.29		Belgrád		35000	Jugoszlávia	3	2	
254	1947.08.17	17:00:00	Budapest	Üllői út	20000	Bulgária	9	0	
255	1947.08.20	18:00:00	Budapest	Üllői út	15000	Albánia	3	0	
256	1947.09.14		Bécs		60000	Ausztria	3	4	
257	1947.10.12		Bukarest		35000	Románia	3	0	
258	1948.04.21	17:30:00	Budapest	Üllői út	32000	Svájc	7	4	
259	1948.05.02		Bécs		65000	Ausztria	2	3	
260	1948.05.23		Budapest	Üllői út	37000	Csehszlovákia	2	1	
261	1948.05.23		Tirana		35000	Albánia	0	0	
262	1948.06.06	17:00:00	Budapest	Megyeri út	45000	Románia	9	0	
263	1948.09.19		Varsó		40000	Lengyelország	6	2	
264	1948.10.03	15:00:00	Budapest	Megyeri út	30000	Ausztria	2	1	
265	1948.10.24		Bukarest		48000	Románia	5	1	
266	1948.11.07		Szófia		38000	Bulgária	0	1	
267	1949.04.10		Prága		55000	Csehszlovákia	2	5	
268	1949.05.08	17:30:00	Budapest	Megyeri út	50000	Ausztria	6	1	
269	1949.06.12	18:00:00	Budapest	Megyeri út	47000	Olaszország	1	1	
270	1949.06.19		Stockholm		38000	Svédország	2	2	
271	1949.07.10		Debrecen	Nagyerdei-stadion	28900	Lengyelország	8	2	
272	1949.10.16		Bécs	Práter-stadion	63800	Ausztria	4	3	
273	1949.10.30		Budapest	Megyeri út	35300	Bulgária	5	1	
274	1949.11.20	13:30:00	Budapest	Megyeri út	52330	Svédország	5	0	
275	1950.04.30		Budapest	Megyeri út	47000	Csehszlovákia	5	0	
276	1950.05.14		Bécs		65000	Ausztria	3	5	
277	1950.06.04		Varsó		60000	Lengyelország	5	2	
278	1950.09.24	15:30:00	Budapest	Megyeri út	38000	Albánia	12	0	
279	1950.10.29		Budapest	Megyeri út	45000	Ausztria	4	3	
280	1950.11.12		Szófia		35000	Bulgária	1	1	
281	1951.05.27	17:00:00	Budapest	Megyeri út	42000	Lengyelország	6	0	
282	1951.10.14		Vitkovice		45000	Csehszlovákia	2	1	
283	1951.11.18	13:30:00	Budapest	Megyeri út	40000	Finnország	8	0	
284	1952.05.18	17:00:00	Budapest	Üllői út	38000	NDK	5	0	
285	1952.05.24		Moszkva		80000	Szovjetunió	1	1	
286	1952.05.27		Moszkva		80000	Szovjetunió	1	2	
287	1952.06.15		Varsó		50000	Lengyelország	5	1	
288	1952.06.22		Helsinki		25000	Finnország	6	1	
289	1952.07.15		Turku		14000	Románia	2	1	OJ-sel.
290	1952.07.21	18:00:00	Helsinki		20000	Olaszország	3	0	OJ
291	1952.07.24		Kotka		20000	Törökország	7	1	OJ
292	1952.07.28		Helsinki		35000	Svédország	6	0	OJ
293	1952.08.02		Helsinki		60000	Jugoszlávia	2	0	OJ
294	1952.09.20		Bern		35000	Svájc	4	2	
295	1952.10.19	14:30:00	Budapest	Megyeri út	48000	Csehszlovákia	5	0	
296	1953.04.26	17:00:00	Budapest	Megyeri út	44000	Ausztria	1	1	
297	1953.05.17	16:15:00	Róma	Centomila-stadion	84000	Olaszország	3	0	
298	1953.07.05		Stockholm		40000	Svédország	4	2	
299	1953.10.04		Prága		50000	Csehszlovákia	5	1	
300	1953.10.04		Szófia		45000	Bulgária	1	1	
301	1953.10.11		Bécs		65000	Ausztria	3	2	
302	1953.11.15	13:30:00	Budapest	Népstadion	80000	Svédország	2	2	
303	1953.11.25		London		105000	Anglia	6	3	
304	1954.02.12		Kairó		28000	Egyiptom	3	0	
305	1954.04.11		Bécs		65000	Ausztria	1	0	
306	1954.05.23	17:30:00	Budapest	Népstadion	92000	Anglia	7	1	
307	1954.06.17		Zürich		15000	Dél-Korea	9	0	VB-1954
308	1954.06.20		Bázel		53000	Németország	8	3	VB-1954
309	1954.06.27		Bern	Wankdorf-stadion	61600	Brazília	4	2	VB-1954
310	1954.06.30		Lausanne		50000	Uruguay	4	2	VB-1954
311	1954.07.04		Bern	Wankdorf-stadion	63450	Németország	2	3	VB-1954
312	1954.09.19		Budapest	Népstadion	93000	Románia	5	1	
313	1954.09.26		Moszkva		85000	Szovjetunió	1	1	
314	1954.10.10	15:00:00	Budapest	Népstadion	94000	Svájc	3	0	
315	1954.10.24		Budapest	Népstadion	93000	Csehszlovákia	4	1	
316	1954.11.14	14:00:00	Budapest	Népstadion	94000	Ausztria	4	1	
317	1954.12.08		Glasgow		134000	Skócia	4	2	
318	1955.04.24		Bécs		65000	Ausztria	2	2	
319	1955.05.08		Oslo		34000	Norvégia	5	0	
320	1955.05.11		Stockholm		40000	Svédország	7	3	
321	1955.05.15	13:30:00	Koppenhága	Blodclub-stadion	41000	Dánia	6	0	
322	1955.05.20		Helsinki		30000	Finnország	9	1	
323	1955.05.29	18:00:00	Budapest	Népstadion	100000	Skócia	3	1	
324	1955.09.17		Lausanne		45000	Svájc	5	4	
325	1955.09.25	16:30:00	Budapest	Népstadion	103000	Szovjetunió	1	1	
326	1955.10.02		Prága		50000	Csehszlovákia	3	1	
327	1955.10.16	14:30:00	Budapest	Népstadion	104000	Ausztria	6	1	
328	1955.11.13	13:30:00	Budapest	Népstadion	90000	Svédország	4	2	
